sommet debut fin ; id := + * ( ) nb eps
P 1 0 0 0 0 0 0 0 0 0 0
S 0 2 2 2 0 0 0 0 0 0 0
R 0 4 3 0 0 0 0 0 0 0 0
I 0 6 6 5 0 0 0 0 0 0 0
E 0 0 0 7 0 0 0 7 0 7 0
E' 0 9 9 0 0 8 0 0 9 0 0
T 0 0 0 10 0 0 0 10 0 10 0
T' 0 12 12 0 0 12 11 0 12 0 0
F 0 0 0 14 0 0 0 1 0 15 0
$ 0 0 0 0 0 0 0 0 0 0 acc
debut pop 0 0 0 0 0 0 0 0 0 0
fin 0 pop 0 0 0 0 0 0 0 0 0
; 0 0 pop 0 0 0 0 0 0 0 0
id 0 0 0 pop 0 0 0 0 0 0 0
:= 0 0 0 0 pop 0 0 0 0 0 0
+ 0 0 0 0 0 pop 0 0 0 0 0
* 0 0 0 0 0 0 pop 0 0 0 0
( 0 0 0 0 0 0 0 pop 0 0 0
) 0 0 0 0 0 0 0 0 pop 0 0
nb 0 0 0 0 0 0 0 0 0 pop 0
